Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,Romania,1501 - 6000,Financial Services,Business,Other,SAS Data Management,2019,,,,,,,,,,,,,,,Integration into existing IT operations,,Available know-how in the company,,,,,,Automation of data processes,,,,,,,3500,20,10,5,In one division,,,,Data Governance,,,,,,,,,,,,,,,Data Catalog,,Others,,,,,,,Lack of maturity/culture in the enterprise,Product did not meet expectations,,,,,,,,,,,,,,,,,,,,Quality of connector is not sufficient,,Some functions do not work,,,,Poor,Don't know / not available,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Neither satisfied nor dissatisfied,Probably,Predominantly data-based,,,,Artificial intelligence & machine learning,,,Slightly increased,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Stayed the same,Stayed the same,Stayed the same,,Romania,Banking and finance,Chief data officer,Dedicated BI and analytics unit,Yes,,1,Europe,Eastern Europe,Financial Services,2501 – 10000,More than 2500,1501 - 6000,Less than 25,0.571428571,1 to less than 5%,Other,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Transport,Business,Exasol,Exasol,7.0.17,Scalability,,,,,Local presence and good support,,"Flexible, good licensing model/price",Good price-performance ratio,,,,,Disaster recovery concepts,Integration into existing IT operations,,,,,,Product roadmap,,,Connectivity to source and target systems,,,,,,6500,30,10,5,Company-wide,Data Warehousing/BI,,Data Lake,,Data Storage/Data Provisioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solution implementation needs workarounds,,,Quality of connector is not sufficient,,,,,,Good,Satisfactory,Satisfactory,Good,Good,Satisfactory,Don't know / not available,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,Artificial intelligence & machine learning,Data culture,,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Germany,Transportation and logistics,Person responsible for BI from IT department,Dedicated BI and analytics unit,No,No,1,Europe,DACH,Transport,2501 – 10000,More than 2500,More than 6000,25 - 75,0.461538462,1 to less than 5%,Exasol,Business,Less than 25,Less than 25
Europe,Austria,150 - 500,Services,Business,MS Azure Synapse,MS Azure Synapse,n.a.,,,,,,,,"Flexible, good licensing model/price",,,,,,,Integration into existing IT operations,,,,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,150,100,10,5,,,Advanced Analytics/Machine Learning/AI,,,,,,,,,Cloud Integration,,,,,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,The product is not enterprise-ready,,,,,,,,,,,The product lacks key features,,,,,Good,Poor,Satisfactory,Good,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Rather satisfied,Probably,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Austria,Austria,Consulting,Line of business employee,,Yes,,1,Europe,DACH,Services,100 - 250,100 - 2500,150 - 500,76 - 300,66.66666667,50 to less than 75%,MS Azure Synapse,Business,Less than 25,Less than 25
Europe,Austria,150 - 500,Services,Business,MS Azure Synapse,MS Azure Synapse,n.a.,,,,,,,,"Flexible, good licensing model/price",,,,,,,Integration into existing IT operations,,,,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,150,100,10,5,,,Advanced Analytics/Machine Learning/AI,,,,,,,,,Cloud Integration,,,,,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,The product is not enterprise-ready,,,,,,,,,,,The product lacks key features,,,,,Good,Poor,Satisfactory,Good,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Rather satisfied,Probably,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Austria,Austria,Consulting,Line of business employee,,Yes,,1,Europe,DACH,Services,100 - 250,100 - 2500,150 - 500,76 - 300,66.66666667,50 to less than 75%,MS Azure Synapse,Business,Less than 25,Less than 25
Europe,Austria,150 - 500,Services,Business,MS Azure Synapse,MS Azure Synapse,n.a.,,,,,,,,"Flexible, good licensing model/price",,,,,,,Integration into existing IT operations,,,,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,150,100,10,5,,,Advanced Analytics/Machine Learning/AI,,,,,,,,,Cloud Integration,,,,,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,The product is not enterprise-ready,,,,,,,,,,,The product lacks key features,,,,,Good,Poor,Satisfactory,Good,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Rather satisfied,Probably,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Austria,Austria,Consulting,Line of business employee,,Yes,,1,Europe,DACH,Services,100 - 250,100 - 2500,150 - 500,76 - 300,66.66666667,50 to less than 75%,MS Azure Synapse,Business,Less than 25,Less than 25
Europe,Austria,150 - 500,Services,Business,MS Azure Synapse,MS Azure Synapse,n.a.,,,,,,,,"Flexible, good licensing model/price",,,,,,,Integration into existing IT operations,,,,Integration into enterprise data processes,,Product roadmap,,,Connectivity to source and target systems,,,,,,150,100,10,5,,,Advanced Analytics/Machine Learning/AI,,,,,,,,,Cloud Integration,,,,,,,,,,,,,Organizational issues,,,,,,,,,,,,,,,The product is not enterprise-ready,,,,,,,,,,,The product lacks key features,,,,,Good,Poor,Satisfactory,Good,Satisfactory,Poor,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Rather satisfied,Probably,Predominantly based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,,,,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Austria,Austria,Consulting,Line of business employee,,Yes,,1,Europe,DACH,Services,100 - 250,100 - 2500,150 - 500,76 - 300,66.66666667,50 to less than 75%,MS Azure Synapse,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Financial Services,Did not respond,SAP BW/4HANA,SAP BW/4HANA,7.5,,,Openness,,,,,,,,,,,,Integration into existing IT operations,,,,,,,,,,,,,,,2990,100,10,5,In several divisions,Data Warehousing/BI,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of maturity/culture in the enterprise,,Cannot process data adequately,,,,Inflexible licensing model,,,,,,,,,,,,,,,,,,,,,Good,Satisfactory,Good,Good,Excellent,Good,Good,Satisfactory,Good,Good,Good,Good,Rather satisfied,Probably,Predominantly data-based,,"Distributed data, computing & decision-making",,,,,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,,Germany,Banking and finance,Business analyst,Finance and controlling,Yes,,1,Europe,DACH,Financial Services,2501 – 10000,More than 2500,1501 - 6000,76 - 300,3.344481605,1 to less than 5%,SAP BW/4HANA,,Less than 25,Less than 25
Europe,Austria,150 - 500,IT,IT,MS SQL Server,MS SQL Server,2017,Scalability,,,Innovative strength of the vendor,Fast reaction time on support tickets,,,,Good price-performance ratio,,,,,,Integration into existing IT operations,Convincing performance,Available know-how in the company,,,,,,Automation of data processes,,,,Quality of functions,,,300,200,10,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Don't know / not available,Good,Good,Good,Good,Good,Good,Don't know / not available,Good,Good,Very satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,,,,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Austria,IT,IT employee,IT,Yes,,1,Europe,DACH,IT,251 - 500,100 - 2500,150 - 500,76 - 300,66.66666667,50 to less than 75%,MS SQL Server,IT,Less than 25,Less than 25
Asia and Pacific,India,501 - 1500,IT,IT,Collibra DI Cloud,Collibra DI Cloud,01.02.2022,Scalability,Extensibility of the solution,,,,,,"Flexible, good licensing model/price",Good price-performance ratio,Prebuilt content,Integrated end-to-end platform,Ease of use for business users,Ease of use for technical users,Disaster recovery concepts,,,Available know-how in the company,,Integration into enterprise data processes,,,,,,,,,,,1000,300,10,5,In one division,,,Data Lake,Data Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Excellent,Good,Good,Good,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Probably,Purely data-based,,,,Artificial intelligence & machine learning,Data culture,,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,,,,,,,,,,India,IT,IT employee,Human resources,Yes,Yes,2,Asia and Pacific, ,IT,501 - 1000,100 - 2500,501 - 1500,76 - 300,30,20 to less than 30%,Collibra DI Cloud,IT,Less than 25,Less than 25
Europe,Germany,More than 6000,Retail/Wholesale,Business,SAP BW/4HANA,SAP BW/4HANA,SAP BW/4HANA 2.0,Scalability,,Openness,,Fast reaction time on support tickets,,,,,,Integrated end-to-end platform,,,,Integration into existing IT operations,,Available know-how in the company,Reusability/metadata-driven development,Integration into enterprise data processes,,Product roadmap,,Automation of data processes,Connectivity to source and target systems,,,,,,7000,1000,10,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,Query Engine,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,Product did not meet expectations,,Insufficient support,High complexity in operation,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,Satisfactory,Poor,Good,Satisfactory,Satisfactory,Good,Good,Satisfactory,Satisfactory,Good,Satisfactory,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Strongly increased,,Germany,Retail / Wholesale / Trade,Person responsible for BI from IT department,IT,Yes,No,1,Europe,DACH,Retail/Wholesale,2501 – 10000,More than 2500,More than 6000,More than 300,14.28571429,10 to less than 15%,SAP BW/4HANA,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,Public sector and Education,IT,MS SQL Server,MS SQL Server,"2016, 2019",,,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,,,,,,,,,,Integration into existing IT operations,,,,,,,,,,,,,,,110000,200,50,5,In several divisions,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,Data Virtualization,Cloud Integration,,,,Self-Service Analytics,,,,,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Satisfactory,Satisfactory,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Rather satisfied,Probably,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",Security & privacy,,,,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Public sector,IT employee,IT,Yes,,3,North America, ,Public sector and Education,More than 100000,More than 2500,More than 6000,76 - 300,0.181818182,1 to less than 5%,MS SQL Server,IT,25 - 75,Less than 25
Europe,Germany,501 - 1500,Financial Services,Did not respond,Synabi D-QUANTUM,Synabi D-QUANTUM,4,,Extensibility of the solution,,,,,,,,,Integrated end-to-end platform,,,,,,Available know-how in the company,,,,,,Automation of data processes,,,,,,,600,600,60,5,Company-wide,,,,Data Governance,,,,,,,,,Data Stewardship/Data Quality Management,,,,,,,,,,,,,,,,,,,,,,Lack of external know-how,,,,,,,,,,,,,,,,,,,,Don't know / not available,Good,Good,Satisfactory,Good,Satisfactory,Good,Good,Good,Good,Good,Good,Rather satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,Artificial intelligence & machine learning,Data culture,Business user enablement,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Strongly increased,,Germany,Banking and finance,"Other, please specify:",Other,Yes,No,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,More than 300,100,More than 75%,Synabi D-QUANTUM,,25 - 75,Less than 25
Europe,Germany,501 - 1500,Financial Services,Business,Synabi D-QUANTUM,Synabi D-QUANTUM,4,Scalability,Extensibility of the solution,Openness,Innovative strength of the vendor,,,,,,,,,,,,,Available know-how in the company,,,,,,Automation of data processes,,,,,,,800,500,75,5,Company-wide,,,,Data Governance,,,,,,,,,,,,,,,Data Catalog,,,,,,,,Customization of tool is limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Excellent,Satisfactory,Good,Good,Good,Good,Satisfactory,Satisfactory,Good,Good,Rather satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,Security & privacy,Artificial intelligence & machine learning,,,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Germany,Banking and finance,Person responsible for departmental BI,Finance and controlling,Yes,No,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,More than 300,62.5,50 to less than 75%,Synabi D-QUANTUM,Business,25 - 75,Less than 25
Europe,Germany,1501 - 6000,Other,Business,Exasol,Exasol,7.1,,,,,,Local presence and good support,Local presence and quality of support,,,,,,Ease of use for technical users,,,Convincing performance,,,,,,,,,,,,,,3000,850,1,6,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,Data culture,Business user enablement,Slightly decreased,Slightly decreased,Slightly decreased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly decreased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Agriculture,Head of business department,Dedicated BI and analytics unit,No,No,1,Europe,DACH,Other,2501 – 10000,More than 2500,1501 - 6000,More than 300,28.33333333,20 to less than 30%,Exasol,Business,Less than 25,Less than 25
